,Season,Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
414,2013,Peter Budaj,FA,24,10,8,3,2.5,56,615,559,0.909,1,1338
415,2013,Pekka Rinne,NSH,24,10,10,3,2.8,63,645,582,0.902,2,1367
416,2013,Reto Berra,FA,31,9,18,3,3.1,88,820,732,0.893,0,1720
417,2013,Ray Emery,FA,28,9,12,2,3.0,69,711,642,0.903,2,1398
418,2013,Anders Nilsson,OTT,19,8,7,2,3.1,57,548,491,0.8959999999999999,0,1101
419,2013,Marek Mazanec,FA,25,8,10,4,2.8,64,650,586,0.902,2,1370
420,2013,Anders Lindback,FA,23,8,12,2,2.9,63,580,517,0.8909999999999999,1,1302
421,2013,Justin Peters,FA,21,7,9,4,2.5,51,626,575,0.919,1,1225
422,2013,Philipp Grubauer,COL,17,6,5,5,2.4,35,469,434,0.925,0,883
423,2013,Scott Clemmensen,FA,17,6,7,1,3.1,47,454,407,0.8959999999999999,0,914
424,2013,Joey MacDonald,FA,11,5,4,1,2.9,29,264,235,0.89,0,599
425,2013,Niklas Backstrom,FA,21,5,11,2,3.0,55,546,491,0.899,0,1094
426,2013,Dan Ellis,FA,20,5,11,0,3.6,62,514,452,0.879,1,1027
427,2013,Viktor Fasth,FA,12,5,5,2,2.8,33,340,307,0.903,0,701
428,2013,Jhonas Enroth,FA,28,4,17,5,2.8,74,834,760,0.9109999999999999,0,1574
429,2013,Michal Neuvirth,FA,15,4,8,2,2.8,41,517,476,0.9209999999999999,0,884
430,2013,Joni Ortio,FA,9,4,4,0,2.5,21,193,172,0.8909999999999999,0,501
431,2013,John Gibson,ANH,3,3,0,0,1.3,4,87,83,0.9540000000000001,1,181
432,2013,Dustin Tokarski,PIT,3,2,0,0,1.8,5,93,88,0.946,1,163
433,2013,Jacob Markstrom,VAN,16,2,8,3,3.4,46,361,315,0.873,0,813
434,2013,Petr Mrazek,CAR,9,2,4,0,1.7,13,178,165,0.927,2,449
435,2013,Michael Hutchinson,COL,3,2,1,0,1.6,5,88,83,0.943,0,183
436,2013,Niklas Svedberg,FA,1,1,0,0,2.0,2,35,33,0.943,0,61
437,2013,Kristers Gudlevskis,FA,1,1,0,0,2.0,2,38,36,0.9470000000000001,0,60
