,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Josh Jooris,FA,C,60,12,12,24,1,16,89,4,4,1,0,0,59,29
Torey Krug,BOS,D,78,12,27,39,13,20,205,0,2,12,0,0,75,68
Brad Richards,FA,C,76,12,25,37,3,12,199,3,2,5,0,0,32,27
Mark Giordano,CGY,D,61,11,37,48,13,37,157,2,2,12,1,0,59,128
Marco Scandella,STL,D,64,11,12,23,8,56,112,4,1,4,0,1,90,100
Richard Panik,WAS,RW,76,11,6,17,-8,49,87,1,2,0,0,0,101,57
Yannick Weber,NSH,D,65,11,10,21,4,30,117,1,5,3,0,0,66,62
Victor Rask,MIN,C,80,11,22,33,-14,16,172,2,2,9,0,0,42,36
Shawn Horcoff,FA,C,76,11,18,29,9,27,82,1,4,1,0,0,80,25
Chris Terry,DET,LW,57,11,9,20,-4,14,71,0,3,1,0,0,44,17
David Savard,CLS,D,82,11,25,36,0,71,112,3,3,7,0,0,195,105
Travis Zajac,NJ,C,74,11,14,25,-3,29,112,0,4,3,2,0,70,35
T.J. Brodie,CGY,D,81,11,30,41,15,30,133,3,3,6,1,2,27,178
Peter Holland,FA,C,62,11,14,25,0,31,93,3,1,2,1,1,99,21
Alex Chiasson,EDM,RW,76,11,15,26,-5,67,105,1,3,3,0,1,93,20
John Klingberg,DAL,D,65,11,29,40,5,32,98,3,2,10,0,0,54,77
John Mitchell,FA,C,68,11,15,26,-9,32,105,1,3,1,1,0,143,56
Ales Hemsky,FA,RW,76,11,21,32,-8,16,140,1,1,7,0,0,22,35
Charlie Coyle,BOS,C,82,11,24,35,13,39,120,4,1,2,0,0,137,52
Adam Lowry,WPG,LW,80,11,12,23,1,46,104,2,0,3,1,0,256,32
Francois Beauchemin,FA,D,64,11,12,23,17,48,110,1,2,1,0,1,105,107
Kris Letang,PIT,D,69,11,43,54,12,79,197,1,2,22,1,0,131,117
Dustin Brown,LA,RW,82,11,16,27,-17,26,189,3,1,5,0,0,242,24
Evgeny Kuznetsov,WAS,C,80,11,26,37,10,24,127,1,4,9,0,0,43,15
Dale Weise,MON,RW,79,10,19,29,21,34,91,1,0,0,0,0,145,34
Victor Hedman,TB,D,59,10,28,38,12,40,115,2,3,8,0,0,51,110
Mike Green,EDM,D,72,10,35,45,15,34,159,2,1,16,0,0,82,93
Duncan Keith,CHI,D,80,10,35,45,12,20,171,2,3,13,0,1,16,113
Nathan Gerbe,CLS,LW,78,10,18,28,-14,34,235,2,2,6,0,0,73,23
Jean-Gabriel Pageau,NYI,C,50,10,9,19,4,9,97,2,0,0,2,0,158,20
Andrei Markov,FA,D,81,10,40,50,22,38,135,1,4,21,0,1,53,173
Jordin Tootoo,FA,RW,68,10,5,15,1,72,75,1,1,0,0,0,127,8
Jay Beagle,VAN,C,62,10,10,20,6,20,84,2,0,0,0,1,73,33
Zack Kassian,EDM,RW,42,10,6,16,-5,81,55,3,1,0,0,0,88,2
Nick Leddy,NYI,D,78,10,27,37,18,14,120,1,1,11,0,1,73,90
David Clarkson,TOR,RW,61,10,5,15,-12,106,95,1,1,0,0,0,133,19
Dominic Moore,FA,C,82,10,17,27,5,28,116,3,0,1,2,0,55,45
Joffrey Lupul,FA,LW,55,10,11,21,-10,26,97,1,2,1,0,0,78,20
Michael Del Zotto,ANH,D,64,10,22,32,-5,34,119,4,1,7,1,0,153,128
J.T. Miller,VAN,C,58,10,13,23,5,23,92,3,2,1,0,0,89,28
Linden Vey,FA,C,75,10,14,24,-3,18,61,2,4,2,0,0,14,9
Matt Nieto,COL,LW,72,10,17,27,-12,20,135,1,1,3,0,1,24,38
David Pastrnak,BOS,RW,46,10,17,27,12,8,93,3,2,1,0,0,20,11
Evander Kane,SJ,LW,37,10,12,22,-1,56,126,1,4,2,1,2,119,14
Dougie Hamilton,CAR,D,72,10,32,42,-3,41,188,2,5,10,0,0,106,53
Mikael Backlund,CGY,C,52,10,17,27,4,14,103,2,0,1,2,0,41,32
Jake Muzzin,TOR,D,76,10,31,41,-4,22,173,3,4,10,0,1,186,108
Justin Fontaine,FA,RW,71,9,22,31,13,12,104,2,0,2,0,0,9,27
Mark Streit,FA,D,81,9,43,52,-8,36,144,0,4,26,0,0,63,103
Jiri Sekac,FA,RW,69,9,14,23,0,22,85,0,2,1,0,0,75,29
Colton Sceviour,FLA,RW,71,9,17,26,1,13,113,2,0,4,0,0,77,41
Boone Jenner,CLS,LW,31,9,8,17,-5,12,83,2,2,3,0,0,102,25
Andre Burakovsky,COL,LW,53,9,13,22,12,10,65,2,2,1,0,0,22,18
Trevor Lewis,LA,C,73,9,16,25,8,14,143,2,0,0,1,0,192,19
Martin Erat,FA,RW,79,9,23,32,-16,48,91,1,3,3,0,0,96,25
